model	task	layer	num_records	first_token_jsd	first_token_kl_full_to_pruned	first_token_kl_pruned_to_full	generation_mean_jsd	generation_mean_kl_full_to_pruned	generation_mean_kl_pruned_to_full	performance_Bleu_1	performance_Bleu_2	performance_Bleu_3	performance_Bleu_4	performance_CIDEr	performance_METEOR	performance_ROUGE_L	summary_path
llava-v1.5-7b	refcoco	0	500	0.10934991824626923	0.649905437156558	0.5266780396997929	0.10661300007067621	0.6100414698123932	0.569438866622746	0.12083729781156967	0.03571173030515488	0.010581224220798052	9.200972329675558e-07	0.1337459836759945	0.06490032466324805	0.13232250399336784	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_0/layer_summary.json
llava-v1.5-7b	refcoco	1	500	0.06640880678780377	0.40304932489991185	0.2766677735224366	0.05576730620115995	0.337025242857635	0.2502088878490031	0.1879079354173178	0.06606447205890618	0.022518964603407705	0.009484830196188896	0.32911126331597046	0.11659008375130846	0.2131400339187473	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_1/layer_summary.json
llava-v1.5-7b	refcoco	2	500	0.051869279837235806	0.2998015462383628	0.2102939320206642	0.03972592316381633	0.22430118676647545	0.17211299445107578	0.19211324570266528	0.0722323062409462	0.026480054882543503	0.013959245521408776	0.3356013301191597	0.12237637483622617	0.2194400371911486	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_2/layer_summary.json
llava-v1.5-7b	refcoco	3	500	0.05605040466785431	0.3281382814347744	0.22824660971015692	0.043474396402947604	0.24816181945428253	0.1927301179021597	0.18721461187208505	0.06939265636524586	0.021046775399211765	0.00878397792031549	0.2913800385601169	0.11845535057114481	0.2113623246145405	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_3/layer_summary.json
llava-v1.5-7b	refcoco	4	500	0.05630019311979413	0.3271870454922318	0.22917515695095061	0.04152193599380553	0.23370524453744293	0.180358340177685	0.17840531561455866	0.06252423389552117	0.019814672440660697	0.008472194864299797	0.2863896919552984	0.11209537715172203	0.20352982159656852	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_4/layer_summary.json
llava-v1.5-7b	refcoco	5	500	0.051155639342963695	0.29909581553936004	0.20265321284532548	0.038978877207264305	0.222272629853338	0.16754145611450075	0.18687032824173322	0.06705154814793549	0.020534322163373926	0.00860800192044024	0.30325146484082416	0.11887909222654353	0.21928831443538171	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_5/layer_summary.json
llava-v1.5-7b	refcoco	6	500	0.052851865792647	0.31226024458557367	0.20941467080265283	0.04189243827480823	0.23772847643494607	0.1812299718298018	0.19061583577706398	0.06560114709530687	0.018410314618428642	0.007941273835241977	0.3041169629023241	0.11951524995857436	0.22014080135654265	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_6/layer_summary.json
llava-v1.5-7b	refcoco	7	500	0.05721111264079809	0.3299883691444993	0.2361725037768483	0.04562371608894318	0.258320095423609	0.20751264648512005	0.17116823950531365	0.054102587624372325	0.011218778943243798	9.733678832030301e-07	0.24824466221674374	0.10485135797459155	0.19228805840125374	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_7/layer_summary.json
llava-v1.5-7b	refcoco	8	500	0.06631096225231886	0.4011053788512945	0.2756833671182394	0.05471764626540244	0.31839078605920074	0.25628165328502656	0.17072368421047016	0.061351338522456646	0.012265143650417266	1.0462230863236095e-06	0.23542714539940407	0.10286337747933372	0.19441594562575168	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_8/layer_summary.json
llava-v1.5-7b	refcoco	9	500	0.05186267338320613	0.31395490720123054	0.20593930257111787	0.041490955979563295	0.24067540230974555	0.18053653249517082	0.1826258637709172	0.0699365569033792	0.024324700769342178	0.009833904239637996	0.2782193035131598	0.11324012089528375	0.21228115588372037	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_9/layer_summary.json
